"","year_month","Count"
"266",2012-03-01,90
"267",2012-04-01,91
"268",2012-05-01,70
"269",2012-06-01,62
"270",2012-07-01,71
"271",2012-08-01,87
"272",2012-09-01,113
"273",2012-10-01,87
"274",2012-11-01,85
"275",2012-12-01,74
"276",2013-01-01,136
"277",2013-02-01,67
"278",2013-03-01,75
"279",2013-04-01,85
"280",2013-05-01,61
"281",2013-06-01,47
"282",2013-07-01,81
"283",2013-08-01,86
"284",2013-09-01,177
"285",2013-10-01,69
"286",2013-11-01,95
"287",2013-12-01,65
"288",2014-01-01,75
"289",2014-02-01,80
"290",2014-03-01,82
"291",2014-04-01,105
"292",2014-05-01,108
"293",2014-06-01,140
"294",2014-07-01,108
"295",2014-08-01,90
"296",2014-09-01,81
"297",2014-10-01,73
"298",2014-11-01,71
"299",2014-12-01,78
"300",2015-01-01,82
"301",2015-02-01,142
"302",2015-03-01,90
"303",2015-04-01,77
"304",2015-05-01,79
"305",2015-06-01,80
"306",2015-07-01,192
"307",2015-08-01,111
"308",2015-09-01,146
"309",2015-10-01,89
"310",2015-11-01,142
"311",2015-12-01,63
"312",2016-01-01,123
"313",2016-02-01,89
"314",2016-03-01,160
"315",2016-04-01,171
"316",2016-05-01,105
"317",2016-06-01,91
"318",2016-07-01,108
"319",2016-08-01,77
"320",2016-09-01,81
"321",2016-10-01,137
"322",2016-11-01,96
"323",2016-12-01,98
"324",2017-01-01,89
"325",2017-02-01,84
"326",2017-03-01,94
"327",2017-04-01,101
"328",2017-05-01,591
"329",2017-06-01,134
"330",2017-07-01,143
"331",2017-08-01,106
"332",2017-09-01,108
"333",2017-10-01,75
"334",2017-11-01,83
"335",2017-12-01,118
"336",2018-01-01,1015
"337",2018-02-01,719
"338",2018-03-01,384
"339",2018-04-01,251
"340",2018-05-01,215
"341",2018-08-01,458
"342",2018-09-01,157
"343",2018-10-01,181
"344",2018-11-01,255
"345",2018-12-01,241
"346",2019-01-01,139
"347",2019-02-01,126
"348",2019-03-01,189
"349",2019-04-01,134
"350",2019-05-01,105
"351",2019-06-01,93
"352",2019-08-01,101
"353",2019-09-01,125
"354",2019-10-01,123
"355",2019-11-01,129
"356",2019-12-01,116
"357",2020-01-01,217
"358",2020-02-01,111
"359",2020-03-01,101
"360",2020-04-01,106
"361",2020-05-01,108
"362",2020-07-01,232
"363",2020-08-01,206
"364",2020-09-01,127
"365",2020-10-01,573
"366",2020-11-01,237
"367",2020-12-01,180
"368",2021-01-01,147
"369",2021-02-01,135
"370",2021-03-01,140
"371",2021-04-01,88
"372",2021-05-01,93
"373",2021-06-01,79
"374",2021-07-01,283
"375",2021-08-01,207
"376",2021-09-01,145
"377",2021-10-01,143
"378",2021-11-01,98
"379",2021-12-01,138
"380",2022-01-01,243
"381",2022-02-01,165
"382",2022-03-01,125
"383",2022-04-01,116
"384",2022-05-01,133
"385",2022-06-01,103
"386",2022-07-01,135
